toolid,name,quantity,price,supplierid,type,powertype
1000,Knock Bits,88,12.67,8015,Non-Electrical,NULL
1001,Widgets,10,35.5,8004,Electrical,AC
1002,Grommets,20,23.45,8001,Non-Electrical,NULL
1003,Wedges,15,10.15,8020,Non-Electrical,NULL
1004,Wing Bats,11,11.25,8003,Electrical,DC
1005,Twinkies,75,15.75,8012,Non-Electrical,NULL
1006,Wiggles,30,12.34,8020,Non-Electrical,NULL
1007,Bing Bobs,25,2.39,8005,Electrical,AC
1008,Wog Wits,300,19.99,8004,Electrical,AC
1009,Barney Bits,21,23.59,8006,Non-Electrical,NULL
1010,Willie Widgits,89,12.99,8003,Electrical,DC
1011,Barge Bogs,35,2.99,8011,Non-Electrical,NULL
1012,Poggy Pogs,99,1.1,8002,Electrical,DC
1013,Pardle Pins,400,0.69,8013,Electrical,AC
1014,Piddley Wicks,54,5.19,8013,Non-Electrical,NULL
1015,Iggy Orks,22,49.95,8010,Electrical,DC
1016,Crank Cribs,888,0.29,8005,Non-Electrical,NULL
1017,Thingies,67,45.98,8008,Electrical,DC
1018,Orf Dappers,32,19.98,8018,Electrical,AC
1019,Piff Knocks,82,4.95,8002,Electrical,DC
1020,Knit Piks,66,6.75,8015,Electrical,DC
1021,Piddley Pins,370,0.25,8020,Electrical,AC
1022,Tic Tocs,87,1.36,8014,Non-Electrical,NULL
1023,Tin Wits,23,5.67,8014,Electrical,AC
1024,Thinga-ma-bobs,40,10.98,8012,Electrical,DC
1025,Fling Flobs,254,2.33,8009,Non-Electrical,NULL
1026,Barn Bins,45,88.67,8006,Electrical,DC
1027,Flap Wrappers,89,44.88,8009,Electrical,AC
1028,Pong Pangs,2345,0.1,8002,Electrical,AC
1029,Oof Tongs,345,8.49,8011,Electrical,DC
1030,Nic Nacs,238,2.99,8015,Electrical,AC
1031,Tork Tins,376,0.95,8012,Non-Electrical,NULL
1032,Lilly Larks,56,12.99,8007,Electrical,DC
1033,Minnie Morks,800,1.95,8007,Electrical,DC
1034,Cork Handles,654,2.66,8016,Electrical,AC
1035,Ding Darns,1208,0.15,8019,Electrical,AC
1036,Erk Orks,498,3.99,8017,Electrical,DC
1037,Foo Figs,234,5.89,8018,Non-Electrical,NULL
1038,Googly Eyes,756,6.99,8001,Electrical,AC
1039,Handy Pandies,321,4.35,8017,Non-Electrical,NULL
1040,Inny Outies,219,3.45,8010,Non-Electrical,NULL
